text,created_at,clean_text
"@NeriiLune Dreary? But you look so dreamy to me,.. ❤️ I hope you’re not depressed , luv.",2025-06-10 19:44:54+00:00,"dreary? but you look so dreamy to me,.. ❤️ i hope you’re not depressed , luv."
"@LBJgoat_talk @shendy456 Alllllllllll of that you just said…………

And bron is STILL chasing Kobe 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀

THAT is the sad part 

After alllll the all star recruiting teammates and super teams 

He’s STILL behind Kobe and mj 

It’s sad and pathetic",2025-06-10 19:44:54+00:00,"alllllllllll of that you just said…………

and bron is still chasing kobe 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀

that is the sad part 

after alllll the all star recruiting teammates and super teams 

he’s still behind kobe and mj 

it’s sad and pathetic"
@avmelias LIKE??? this was such a EASY romcom to make and they fumbled it by trying to be different i’m in shock omg…seeing the initial episodes just feels sad cuz this drama could’ve been everything,2025-06-10 19:44:54+00:00,like??? this was such a easy romcom to make and they fumbled it by trying to be different i’m in shock omg…seeing the initial episodes just feels sad cuz this drama could’ve been everything
@Mrgunsngear Yeah they done fucked up now,2025-06-10 19:44:53+00:00,yeah they done fucked up now
one old fav moot unf me for inactivity thats so sad #kms,2025-06-10 19:44:53+00:00,one old fav moot unf me for inactivity thats so sad #kms
The unsent project got me so fucked up lol,2025-06-10 19:44:53+00:00,the unsent project got me so fucked up lol
@NaokiQYamamoto Schopenhauer was a depressed doomer.,2025-06-10 19:44:52+00:00,schopenhauer was a depressed doomer.
"https://t.co/aLoWOYeKlO

Sorry going through a lot right now so i'm just really fucked up",2025-06-10 19:44:52+00:00,sorry going through a lot right now so i'm just really fucked up
GET IT THROUGH YOUR HEADS! TRUMP IS A DICTATOR! AMERICA IS FUCKED UNLESS YOU STAND UP NOW!!!!! https://t.co/DLiA5YRMAl,2025-06-10 19:44:52+00:00,get it through your heads! trump is a dictator! america is fucked unless you stand up now!!!!!
"@AriaSaki It is very sad. But this is what they signed up for when they illegally snuck into our country. 

They could have come here legally, did it the right way, but they didn’t. 

They are suffering the consequences of their own choices.",2025-06-10 19:44:52+00:00,"it is very sad. but this is what they signed up for when they illegally snuck into our country. 

they could have come here legally, did it the right way, but they didn’t. 

they are suffering the consequences of their own choices."
